Year,Yom Tov,Start of First Days,Start of Last Day (After Chol Hamoed)
2025,Rosh Hashanos,2025-09-22,
2025,Yom Kippur,2025-10-01,
2025,Sukkos,2025-10-06,
2025,Shemini Atzeres,2025-10-13,
2025,Shavuos,2025-06-01,
2026,Rosh Hashanos,2026-09-11,
2026,Yom Kippur,2026-09-20,
2026,Sukkos,2026-09-25,
2026,Shemini Atzeres,2026-10-02,
2026,Pesach,2026-04-01,2026-04-08
2026,Shavuos,2026-05-21,
2027,Rosh Hashanos,2027-10-01,
2027,Yom Kippur,2027-10-10,
2027,Sukkos,2027-10-15,
2027,Shemini Atzeres,2027-10-22,
2027,Pesach,2027-04-21,2027-04-28
2027,Shavuos,2027-06-10,
2028,Rosh Hashanos,2028-09-20,
2028,Yom Kippur,2028-09-29,
2028,Sukkos,2028-10-04,
2028,Shemini Atzeres,2028-10-11,
2028,Pesach,2028-04-10,2028-04-17
2028,Shavuos,2028-05-30,
2029,Rosh Hashanos,2029-09-09,
2029,Yom Kippur,2029-09-18,
2029,Sukkos,2029-09-23,
2029,Shemini Atzeres,2029-09-30,
2029,Pesach,2029-03-30,2029-04-05
2029,Shavuos,2029-05-19,
2030,Rosh Hashanos,2030-09-27,
2030,Yom Kippur,2030-10-06,
2030,Sukkos,2030-10-11,
2030,Shemini Atzeres,2030-10-18,
2030,Pesach,2030-04-17,2030-04-24
2030,Shavuos,2030-06-06,
2031,Rosh Hashanos,2031-09-17,
2031,Yom Kippur,2031-09-26,
2031,Sukkos,2031-10-01,
2031,Shemini Atzeres,2031-10-08,
2031,Pesach,2031-04-07,2031-04-14
2031,Shavuos,2031-05-27,
2032,Rosh Hashanos,2032-09-05,
2032,Yom Kippur,2032-09-14,
2032,Sukkos,2032-09-19,
2032,Shemini Atzeres,2032-09-26,
2032,Pesach,2032-03-26,2032-04-02
2032,Shavuos,2032-05-15,
2033,Rosh Hashanos,2033-09-23,
2033,Yom Kippur,2033-10-02,
2033,Sukkos,2033-10-07,
2033,Shemini Atzeres,2033-10-14,
2033,Pesach,2033-04-13,2033-04-20
2033,Shavuos,2033-06-02,
2034,Rosh Hashanos,2034-09-13,
2034,Yom Kippur,2034-09-22,
2034,Sukkos,2034-09-27,
2034,Shemini Atzeres,2034-10-04,
2034,Pesach,2034-04-03,2034-04-10
2034,Shavuos,2034-05-23,
